Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
770.583,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
772.682,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
774.711,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
778.713,-241.3,-777.9,179.0,1.232,1.179,-1.207,1.197
780.695,-241.3,-777.9,179.0,1.232,1.179,-1.207,1.197
784.712,-241.3,-777.9,179.0,1.232,1.179,-1.207,1.127
786.698,-241.3,-777.9,179.0,1.232,1.179,-1.207,1.127
789.798,-241.3,-777.8,179.0,1.232,1.179,-1.207,1.127
793.019,-241.3,-777.8,179.1,1.232,1.179,-1.207,1.127
796.1859999999999,-241.3,-777.8,179.1,1.232,1.179,-1.207,1.127
798.18,-241.3,-777.8,179.1,1.232,1.179,-1.207,1.056
800.165,-241.3,-777.8,179.1,1.232,1.179,-1.207,1.056
802.1669999999999,-241.3,-777.7,179.1,1.232,1.179,-1.207,1.056
806.1800000000001,-241.3,-777.7,179.0,1.232,1.179,-1.207,1.056
808.169,-241.3,-777.7,179.0,1.232,1.179,-1.207,1.056
810.1800000000001,-241.3,-777.7,179.0,1.232,1.179,-1.207,1.056
812.164,-241.3,-777.7,179.0,1.232,1.179,-1.207,1.197
814.183,-241.3,-777.7,179.0,1.232,1.179,-1.207,1.197
816.181,-241.3,-777.4,179.0,1.232,1.179,-1.207,1.197
820.1800000000001,-241.3,-777.4,178.9,1.232,1.179,-1.207,1.197
824.1800000000001,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.197
828.1800000000001,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.267
830.1800000000001,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.267
832.1840000000001,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
834.164,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
836.1809999999999,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
838.191,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
840.1809999999999,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
844.1809999999999,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
848.1800000000001,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.267
852.1800000000001,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.232
854.183,-241.2,-777.4,178.8,1.232,1.18,-1.207,1.232
856.183,-241.2,-777.4,178.8,1.232,1.18,-1.207,1.232
858.179,-241.2,-777.4,178.8,1.232,1.18,-1.207,1.232
860.184,-241.2,-777.4,178.8,1.232,1.18,-1.207,1.232
862.169,-241.2,-777.4,178.8,1.232,1.18,-1.207,1.232
866.182,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
870.1790000000001,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
874.18,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
878.18,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
880.1790000000001,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
882.178,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
884.186,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
886.1719999999999,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
